city,street,segment_id,point_id,distance_m,lon,lat,geometry
"Philadelphia, Pennsylvania, USA",Market Street,0,0,0.0,-75.24718269999998,39.96271469999999,POINT (-75.24718269999998 39.96271469999999)
"Philadelphia, Pennsylvania, USA",Market Street,0,1,250.0,-75.24496237248505,39.96245955756239,POINT (-75.24496237248505 39.96245955756239)
"Philadelphia, Pennsylvania, USA",Market Street,0,2,500.0,-75.24274534103313,39.962184979317186,POINT (-75.24274534103313 39.962184979317186)
"Philadelphia, Pennsylvania, USA",Market Street,0,3,750.0,-75.24052838929151,39.961910320929825,POINT (-75.24052838929151 39.961910320929825)
"Philadelphia, Pennsylvania, USA",Market Street,0,4,1000.0,-75.23831107704665,39.961637087522035,POINT (-75.23831107704665 39.961637087522035)
"Philadelphia, Pennsylvania, USA",Market Street,0,5,1250.0,-75.23609430803162,39.96136129130775,POINT (-75.23609430803162 39.96136129130775)
"Philadelphia, Pennsylvania, USA",Market Street,0,6,1500.0,-75.23387728060348,39.96108668907702,POINT (-75.23387728060348 39.96108668907702)
"Philadelphia, Pennsylvania, USA",Market Street,0,7,1750.0,-75.2316602609749,39.960812048434285,POINT (-75.2316602609749 39.960812048434285)
"Philadelphia, Pennsylvania, USA",Market Street,0,8,2000.0,-75.22944322686023,39.96053747535183,POINT (-75.22944322686023 39.96053747535183)
"Philadelphia, Pennsylvania, USA",Market Street,0,9,2250.0,-75.22722620297935,39.960262852739696,POINT (-75.22722620297935 39.960262852739696)
"Philadelphia, Pennsylvania, USA",Market Street,0,10,2500.0,-75.22500917358343,39.95998825529939,POINT (-75.22500917358343 39.95998825529939)
"Philadelphia, Pennsylvania, USA",Market Street,0,11,2750.0,-75.22279223101081,39.95971324555417,POINT (-75.22279223101081 39.95971324555417)
"Philadelphia, Pennsylvania, USA",Market Street,0,12,3000.0,-75.22057528353018,39.95943825741099,POINT (-75.22057528353018 39.95943825741099)
"Philadelphia, Pennsylvania, USA",Market Street,0,13,3250.0,-75.21835832874412,39.95916330283862,POINT (-75.21835832874412 39.95916330283862)
"Philadelphia, Pennsylvania, USA",Market Street,0,14,3500.0,-75.2161413888285,39.95888827706761,POINT (-75.2161413888285 39.95888827706761)
"Philadelphia, Pennsylvania, USA",Market Street,0,15,3750.0,-75.21392443409172,39.95861331969309,POINT (-75.21392443409172 39.95861331969309)
"Philadelphia, Pennsylvania, USA",Market Street,1,0,0.0,-75.2120897,39.958417600000004,POINT (-75.2120897 39.958417600000004)
"Philadelphia, Pennsylvania, USA",Market Street,1,1,250.0,-75.21429672500808,39.95872329495522,POINT (-75.21429672500808 39.95872329495522)
"Philadelphia, Pennsylvania, USA",Market Street,1,2,500.0,-75.21651367962909,39.95899825254788,POINT (-75.21651367962909 39.95899825254788)
