city,street,segment_id,point_id,distance_m,lon,lat,heading_road,heading_sidewalk_right,heading_sidewalk_left,image_file,image_path,gsv_status,gsv_url_sidewalk,abs_image_path,building_frac,sky_frac,road_frac,tree_frac,grass_frac,sidewalk_frac,seg_vis_file,seg_vis_path,seg_features_text,sidewalk_quality_and_walkability_score,greenery_score,building_enclosure_score,Comfort_and_perceived_safety_score,total_score,gpt_comment
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,46,11500,-75.14510808,39.948522944872174,99.52120196074884,189.52120196074884,9.521201961,idx0126_seg0_pt46_h190.jpg,gsv_sidewalk_250m\idx0126_seg0_pt46_h190.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.948522944872174,-75.14510808498606&heading=189.52120196074884",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0126_seg0_pt46_h190.jpg,0.340644531,0.012575684,0,0.211452637,0.001501465,0.326274414,seg_idx0126_seg0_pt46_h190.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0126_seg0_pt46_h190.jpg,"According to a semantic segmentation model, this street-view image contains approximately 34.1% building facades, 0.0% roadway, 32.6% sidewalks, 21.1% trees, 0.2% grass, and 1.3% sky.",23,21,20,22,86,"With about 32.6% sidewalks and no visible roadway, the image shows a wide, brick-paved pedestrian space with benches and active foot traffic, indicating high walkability and comfort. Roughly 21.1% trees plus additional planting beds provide good shade and greenery, while substantial, well-maintained building facades create a strong, pleasant sense of enclosure."
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,41,10250,-75.15618953,39.949908693325305,99.19186072121568,189.19186072121568,9.191860721215676,idx0121_seg0_pt41_h189.jpg,gsv_sidewalk_250m\idx0121_seg0_pt41_h189.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.949908693325305,-75.15618952626922&heading=189.19186072121568",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0121_seg0_pt41_h189.jpg,0.346706543,0,0.002214355,0.219951172,0,0.398776855,seg_idx0121_seg0_pt41_h189.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0121_seg0_pt41_h189.jpg,"According to a semantic segmentation model, this street-view image contains approximately 34.7% building facades, 0.2% roadway, 39.9% sidewalks, 22.0% trees, 0.0% grass, and 0.0% sky.",22,18,21,20,81,"With about 39.9% sidewalks and almost no visible roadway, the image shows a wide, continuous, unobstructed sidewalk along active ground-floor shops, which supports good walkability and enclosure. Around 22% trees provide a pleasant canopy and some shade, and the limited roadway presence plus street lighting and clear sightlines contribute to a comfortable, safe-feeling pedestrian environment."
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,44,11000,-75.14953818,39.949089,99.18103073983087,189.18103073983087,9.181030739830874,idx0124_seg0_pt44_h189.jpg,gsv_sidewalk_250m\idx0124_seg0_pt44_h189.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.9490890037331,-75.14953818330247&heading=189.18103073983087",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0124_seg0_pt44_h189.jpg,0.275822754,0.015092773,0,0.272280273,0,0.28036377,seg_idx0124_seg0_pt44_h189.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0124_seg0_pt44_h189.jpg,"According to a semantic segmentation model, this street-view image contains approximately 27.6% building facades, 0.0% roadway, 28.0% sidewalks, 27.2% trees, 0.0% grass, and 1.5% sky.",21,20,19,21,81,"With about 28% of the scene as paved pedestrian space and no visible roadway, the brick sidewalks and plaza appear wide, continuous, and well-separated from traffic, supporting comfortable walking. Roughly 27% trees plus dense canopy provide shade and greenery, while the historic, well-maintained building facades create a defined, pleasant enclosure that feels safe and calm despite some visual clutter from posts and chains."
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,17,4250,-75.20939253,39.95651444112395,99.26133199801323,189.26133199801325,9.261331998013247,idx0097_seg0_pt17_h189.jpg,gsv_sidewalk_250m\idx0097_seg0_pt17_h189.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95651444112395,-75.20939252727247&heading=189.26133199801325",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0097_seg0_pt17_h189.jpg,0.288510742,0,0.114599609,0.265612793,0,0.181113281,seg_idx0097_seg0_pt17_h189.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0097_seg0_pt17_h189.jpg,"According to a semantic segmentation model, this street-view image contains approximately 28.9% building facades, 11.5% roadway, 18.1% sidewalks, 26.6% trees, 0.0% grass, and 0.0% sky.",21,18,22,19,80,"With about 18.1% sidewalks and only 11.5% roadway, the image shows a wide, unobstructed sidewalk along a calm residential street. Roughly 26.6% trees plus landscaped shrubs provide good shade and greenery, while the well-maintained, continuous building facade offers strong enclosure and a comfortable, safe-feeling environment."
"Philadelphia, Pennsylvania, USA",Walnut Street,3,12,3000,-75.16939361,39.95000471,279.0367016296467,9.03670163,189.0367016296467,idx0170_seg3_pt12_h9.jpg,gsv_sidewalk_250m\idx0170_seg3_pt12_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.9500047145352,-75.16939361234407&heading=9.0367016296467",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0170_seg3_pt12_h9.jpg,0.342880859,0.017492676,0.17628418,0.207299805,0,0.176428223,seg_idx0170_seg3_pt12_h9.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0170_seg3_pt12_h9.jpg,"According to a semantic segmentation model, this street-view image contains approximately 34.3% building facades, 17.6% roadway, 17.6% sidewalks, 20.7% trees, 0.0% grass, and 1.7% sky.",21,18,20,19,78,"With about 17.6% sidewalks and a visibly wide, continuous, unobstructed pedestrian zone, walkability is strong, supported by active storefronts and street furniture. Roughly 20.7% trees and additional planters provide good shade and greenery, while moderate roadway share (17.6%) and calm traffic conditions contribute to a comfortable, enclosed, and safe-feeling streetscape."
"Philadelphia, Pennsylvania, USA",Market Street,6,4,1000,-75.14710525,39.95037188242713,279.2436366577556,9.243636657755587,189.2436366577556,idx0066_seg6_pt4_h9.jpg,gsv_sidewalk_250m\idx0066_seg6_pt4_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95037188242713,-75.14710524671666&heading=9.243636657755587",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0066_seg6_pt4_h9.jpg,0.266894531,0.016862793,0.007727051,0.251391602,0,0.413361816,seg_idx0066_seg6_pt4_h9.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0066_seg6_pt4_h9.jpg,"According to a semantic segmentation model, this street-view image contains approximately 26.7% building facades, 0.8% roadway, 41.3% sidewalks, 25.1% trees, 0.0% grass, and 1.7% sky.",21,18,19,19,77,"With about 41% of the scene as sidewalk and very wide, unobstructed brick paving plus a bus shelter, walkability is strong, and the low 0.8% roadway share with limited visible traffic supports comfort. Around 25% trees and substantial mature canopy, along with mid-rise, well-maintained building facades that frame the space, create a pleasant, enclosed, and safe-feeling pedestrian environment despite minimal grass."
"Philadelphia, Pennsylvania, USA",Market Street,7,1,250,-75.14672794,39.95025905772715,99.20642455521352,189.20642455521352,9.206424555213516,idx0068_seg7_pt1_h189.jpg,gsv_sidewalk_250m\idx0068_seg7_pt1_h189.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95025905772715,-75.14672794080451&heading=189.20642455521352",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0068_seg7_pt1_h189.jpg,0.306555176,0.038005371,0.123261719,0.183208008,0,0.295678711,seg_idx0068_seg7_pt1_h189.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0068_seg7_pt1_h189.jpg,"According to a semantic segmentation model, this street-view image contains approximately 30.7% building facades, 12.3% roadway, 29.6% sidewalks, 18.3% trees, 0.0% grass, and 3.8% sky.",20,18,19,19,76,"With about 29.6% sidewalks and a clearly visible, wide, continuous brick sidewalk with planters and no major obstructions, walkability appears strong. Roughly 18.3% trees plus substantial potted greenery and well-maintained, closely spaced building facades (30.7%) create a defined, shaded street edge, while the relatively low roadway share (12.3%) and calm, narrow carriageway support comfort and perceived safety."
"Philadelphia, Pennsylvania, USA",Market Street,6,3,750,-75.14488862,39.95009533244399,279.2436366577556,9.243636657755587,189.2436366577556,idx0065_seg6_pt3_h9.jpg,gsv_sidewalk_250m\idx0065_seg6_pt3_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95009533244399,-75.14488862185861&heading=9.243636657755587",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0065_seg6_pt3_h9.jpg,0.341503906,0,0.097663574,0.26128418,0,0.03138916,seg_idx0065_seg6_pt3_h9.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0065_seg6_pt3_h9.jpg,"According to a semantic segmentation model, this street-view image contains approximately 34.2% building facades, 9.8% roadway, 3.1% sidewalks, 26.1% trees, 0.0% grass, and 0.0% sky.",18,20,20,17,75,"Despite only 3.1% labeled as sidewalks, the image shows a continuous, brick-paved sidewalk with active storefronts, though somewhat narrowed by trees and parked cars. With 26.1% trees and strong canopy shade plus well-maintained mid-rise facades and limited visible roadway (9.8%), the street feels enclosed, green, and reasonably comfortable, though on-street parking and close traffic slightly reduce perceived safety."
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,35,8750,-75.16948885,39.95156795331231,99.26682742814512,189.26682742814512,9.266827428,idx0115_seg0_pt35_h189.jpg,gsv_sidewalk_250m\idx0115_seg0_pt35_h189.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95156795331231,-75.16948884597355&heading=189.26682742814512",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0115_seg0_pt35_h189.jpg,0.491123047,0.000976563,0.009936523,0.092844238,0,0.338608398,seg_idx0115_seg0_pt35_h189.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0115_seg0_pt35_h189.jpg,"According to a semantic segmentation model, this street-view image contains approximately 49.1% building facades, 1.0% roadway, 33.9% sidewalks, 9.3% trees, 0.0% grass, and 0.1% sky.",20,14,22,19,75,"With about 33.9% sidewalks and only 1.0% roadway, plus a wide, active caf茅 frontage and outdoor seating, the pedestrian realm is generous and well-used despite some surface wear and minor clutter. Around 9.3% trees and additional planters provide moderate greenery and shade, while the continuous, well-maintained building facades (49.1%) create strong enclosure and a comfortable, safe-feeling streetscape."
"Philadelphia, Pennsylvania, USA",Walnut Street,0,14,3500,-75.21662418,39.95586977759697,279.2552983786163,9.255298378616317,189.25529837861632,idx0142_seg0_pt14_h9.jpg,gsv_sidewalk_250m\idx0142_seg0_pt14_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95586977759697,-75.21662418032948&heading=9.255298378616317",street_samples_250m_after_seg\gsv_sidewalk_250m\idx0142_seg0_pt14_h9.jpg,0.10972168,0.000410156,0.069870605,0.45833252,0.005336914,0.031105957,seg_idx0142_seg0_pt14_h9.jpg,/content/drive/MyDrive/Colab_Notebooks/final/street_samples_250m/gsv_sidewalk_250m_segvis/seg_idx0142_seg0_pt14_h9.jpg,"According to a semantic segmentation model, this street-view image contains approximately 11.0% building facades, 7.0% roadway, 3.1% sidewalks, 45.8% trees, 0.5% grass, and 0.0% sky.",17,22,18,18,75,"Despite only 3.1% of the image being labeled as sidewalk, the photo shows a continuous, reasonably wide paved sidewalk, though it is somewhat constrained by parked cars and tree placement. With 45.8% trees and visible front yards plus well-maintained building facades, the street feels green, enclosed, and residentially calm, supporting good comfort and perceived safety even with some roadway and parked-car presence."
